target_id,PGMTL9_rmse,pb0_rmse,diff,SDF,textname,notes
nhdhr_109986912,18.77757696,15.55231455,3.225262414,5.63715331,South Pool,lot of 2 degree surface temps in May/June
nhdhr_121207127,17.81182815,14.07491686,3.736911287,4.472304244,Lake Calumet,2 and 4 degree surface temps in June/August
nhdhr_109986464,17.0385183,10.15392961,6.884588689,1.526448652,Beck Lake,3 degree surface temps in May - Aug
nhdhr_121627799,16.52156828,13.54317212,2.978396157,1.666045818,Silver Lake,"1-3 degree surface temps in summer, one 39 degree day in summer"
nhdhr_109989488,16.46655938,17.29549371,-0.8289343306,1.56420488,,
nhdhr_109984628,15.83925956,14.45189553,1.387364024,1.538124874,Diamond Lake,
nhdhr_121625323,14.59390093,7.108557008,7.485343922,3.07763863,Wonder Lake,
nhdhr_145608202,14.43304493,15.18205543,-0.7490105022,2.372909637,Lake Carlton,
nhdhr_109989482,14.09947564,10.90040616,3.199069476,1.227245892,Herrick Lake,
nhdhr_109987472,14.08785448,17.27767328,-3.189818801,2.238649182,,
nhdhr_109982172,13.4588135,10.50918806,2.94962544,2.057320031,Sterling Lake,
nhdhr_109986638,13.23735932,6.028475499,7.208883821,1.634167834,Big Bend Lake,
nhdhr_109990726,13.22396106,14.31973155,-1.095770491,1.391584988,Maple Lake,
nhdhr_121628955,12.67611038,13.27008645,-0.5939760718,1.955219431,Lake in the Hills,
nhdhr_85083102,11.50780271,13.18964294,-1.68184023,9.104347537,Skokie Lagoons,
nhdhr_121207134,10.92145521,10.3940889,0.5273663016,3.544534357,,
nhdhr_121650602,10.11356144,11.28981457,-1.176253125,5.74372579,Nippersink Lake,
nhdhr_121650552,9.958300748,14.2485469,-4.290246157,3.300514416,Grass Lake,
nhdhr_109989384,9.572647573,11.09180245,-1.519154873,2.143749973,Silver Lake,
nhdhr_121207285,9.130561893,10.74451646,-1.613954572,1.790015332,Powder Horn Lake,
nhdhr_121650592,8.765415707,13.5487304,-4.783314691,3.710365246,Petite Lake,
nhdhr_121625003,8.682861748,8.108746168,0.5741155806,2.617732106,Long Lake,
nhdhr_120020307,8.056184288,3.366361059,4.689823229,3.262830855,South Center Lake,
nhdhr_121650633,7.935055719,12.88777715,-4.952721434,5.40823517,Pistakee Lake,
nhdhr_83837813,7.89638197,10.30379378,-2.407411809,1.711771604,,
nhdhr_121650613,7.461582263,10.03864804,-2.577065779,4.697269665,Lake Marie,
nhdhr_90588560,7.226290887,8.259045568,-1.032754681,2.388197609,Shabbona Lake,
nhdhr_34132559,7.104317924,6.021501332,1.082816591,1.251332864,,
nhdhr_76156141,6.576217069,1.808378619,4.76783845,1.250984633,Newton Lake,
nhdhr_156039648,6.421421714,8.441648269,-2.020226554,1.798214729,Lake Le-Aqua-Na,
nhdhr_121650562,6.350217314,10.15155898,-3.801341668,2.013040863,Bluff Lake,
nhdhr_166867884,6.340109898,5.27734127,1.062768628,1.530363079,Bass Lake,
nhdhr_45338847,6.291997379,6.942873762,-0.650876383,1.352110492,South Lake,
nhdhr_91595509,6.276707247,5.494458437,0.7822488095,1.121641915,Carlson Lake,
nhdhr_{E8588F86-711E-4F96-9BFC-A5E8F6ADFE27},6.262656077,6.861430074,-0.5987739964,1.77683926,Dark Lake,
nhdhr_82815984,5.981527048,3.397583198,2.58394385,5.200681617,Hamlin Lake,
